Title of the Paper,"Journal Name, Publisher",Author Name
Comparison of image quality between a novel mobile CT scanner and current generation stationary CT scanners,"In NCBI, 2022","Henrik Andersson, Ashkan Tamaddon, Mazdak Malekian, Kristina Ydström, Roger Siemund, Teresa Ullberg, Johan Wasselius"
CT-scan Image Production Procedures,"In NCBI, 2022","Shady Hermena, Michael Young."
Real-ESRGAN: Training Real-World Blind Super-Resolution with Pure Synthetic Data.,"In CVPRW, 2021","Xintao Wang, Ke Yu, Kelvin C.K. Chan, Chao Dong, and Chen Change Loy."
Designing a practical degradation model for deep blind image super-resolution.,"In arXiv:2103.14006, 2021.","Kai Zhang, Jingyun Liang, Luc Van Gool, and Radu Timofte."
Real-world super-resolution via kernel estimation and noise injection.,"In CVPRW, 2020.","Xiaozhong Ji, Yun Cao, Ying Tai, Chengjie Wang, Jilin Li, and Feiyue Huang."
Basicsr.,"In CVPR, 2020","Xintao Wang, Ke Yu, Kelvin C.K. Chan, Chao Dong, and Chen Change Loy."
Component divide-and-conquer for real-world image super-resolution.,"In ECCV, 2020","Pengxu Wei, Ziwei Xie, Hannan Lu, ZongYuan Zhan, Qixiang Ye amd Wangmeng Zuo, and Liang Lin."
Unfolding the alternating optimization for blind super resolution.,"In NeurIPS, 2020","Zhengxiong Luo, Yan Huang, Shang Li, Liang Wang, and Tieniu Tan."
Perception-distortion tradeoff.,"In CVPR, 2018",Yochai Blau and Tomer Michaeli.
Photorealistic single image super-resolution using a generative adversarial network.,"In CVPR, 2017.","Christian Ledig, Lucas Theis, Ferenc Huszar, Jose Caballero, ´ Andrew Cunningham, Alejandro Acosta, Andrew Aitken, Alykhan Tejani, Johannes Totz, Zehan Wang"
Perceptual losses for real-time style transfer and super-resolution.,"In ECCV, 2016","Justin Johnson, Alexandre Alahi, and Li Fei-Fei."
Generative adversarial nets,"In NeurIPS, 2014","Ian Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, and Yoshua Bengio."